Region,SPI,Year,Month,Values
Assam Meghalaya,2,1880,12,0.219653032
Assam Meghalaya,2,1881,1,0.405526377
Assam Meghalaya,2,1881,2,-1.172548779
Assam Meghalaya,2,1881,3,0.426342652
Assam Meghalaya,2,1881,4,1.134500043
Assam Meghalaya,2,1881,5,1.245645001
Assam Meghalaya,2,1881,6,0.273686959
Assam Meghalaya,2,1881,7,-1.219446697
Assam Meghalaya,2,1881,8,-0.552832074
Assam Meghalaya,2,1881,9,1.687451595
Assam Meghalaya,2,1881,10,0.956360962
Assam Meghalaya,2,1881,11,-0.795941269
Assam Meghalaya,2,1881,12,-0.647682782
Assam Meghalaya,2,1882,1,-0.280768759
Assam Meghalaya,2,1882,2,1.030040102
Assam Meghalaya,2,1882,3,1.372190219
Assam Meghalaya,2,1882,4,0.116530459
Assam Meghalaya,2,1882,5,-0.951634056
Assam Meghalaya,2,1882,6,-0.912565923
Assam Meghalaya,2,1882,7,-1.84381552
Assam Meghalaya,2,1882,8,-0.979453695
Assam Meghalaya,2,1882,9,0.398302766
Assam Meghalaya,2,1882,10,1.807782727
Assam Meghalaya,2,1882,11,2.140311227
Assam Meghalaya,2,1882,12,0.127284525
Assam Meghalaya,2,1883,1,0.321159829
Assam Meghalaya,2,1883,2,-0.505466143
Assam Meghalaya,2,1883,3,-0.581696047
Assam Meghalaya,2,1883,4,-0.682096637
Assam Meghalaya,2,1883,5,1.024578959
Assam Meghalaya,2,1883,6,0.512039725
Assam Meghalaya,2,1883,7,-1.487780502
Assam Meghalaya,2,1883,8,-0.282255617
Assam Meghalaya,2,1883,9,0.261974555
Assam Meghalaya,2,1883,10,-1.133014577
Assam Meghalaya,2,1883,11,-1.524478017
Assam Meghalaya,2,1883,12,0.817318766
Assam Meghalaya,2,1884,1,1.692396316
Assam Meghalaya,2,1884,2,0.23373542
Assam Meghalaya,2,1884,3,0.572758595
Assam Meghalaya,2,1884,4,0.533492119
Assam Meghalaya,2,1884,5,0.140961828
Assam Meghalaya,2,1884,6,-0.718820642
Assam Meghalaya,2,1884,7,-1.703572356
Assam Meghalaya,2,1884,8,-1.251755913
Assam Meghalaya,2,1884,9,-1.598191775
Assam Meghalaya,2,1884,10,-1.957880063
Assam Meghalaya,2,1884,11,-0.381615079
Assam Meghalaya,2,1884,12,-0.20743193
Assam Meghalaya,2,1885,1,-0.103916214
Assam Meghalaya,2,1885,2,-0.609717964
Assam Meghalaya,2,1885,3,0.079871141
Assam Meghalaya,2,1885,4,0.319452591
Assam Meghalaya,2,1885,5,-0.423170611
Assam Meghalaya,2,1885,6,-0.882262319
Assam Meghalaya,2,1885,7,-0.24999835
Assam Meghalaya,2,1885,8,-0.774616745
Assam Meghalaya,2,1885,9,0.391577194
Assam Meghalaya,2,1885,10,1.008906875
Assam Meghalaya,2,1885,11,-0.515913298
Assam Meghalaya,2,1885,12,0.033796733
Assam Meghalaya,2,1886,1,-0.072965982
Assam Meghalaya,2,1886,2,-1.297385087
Assam Meghalaya,2,1886,3,-0.145041065
Assam Meghalaya,2,1886,4,-0.338210996
Assam Meghalaya,2,1886,5,-0.952683674
Assam Meghalaya,2,1886,6,-0.478306749
Assam Meghalaya,2,1886,7,0.862005517
Assam Meghalaya,2,1886,8,1.454927335
Assam Meghalaya,2,1886,9,1.58771834
Assam Meghalaya,2,1886,10,0.661558504
Assam Meghalaya,2,1886,11,-0.918949507
Assam Meghalaya,2,1886,12,-0.570033017
Assam Meghalaya,2,1887,1,1.916578784
Assam Meghalaya,2,1887,2,0.673931196
Assam Meghalaya,2,1887,3,0.589788203
Assam Meghalaya,2,1887,4,0.456056205
Assam Meghalaya,2,1887,5,-0.528384642
Assam Meghalaya,2,1887,6,1.108812292
Assam Meghalaya,2,1887,7,0.200793045
Assam Meghalaya,2,1887,8,-1.773418032
Assam Meghalaya,2,1887,9,-0.291859978
Assam Meghalaya,2,1887,10,-0.805747415
Assam Meghalaya,2,1887,11,-1.45322343
Assam Meghalaya,2,1887,12,-0.85012505
Assam Meghalaya,2,1888,1,0.295712387
Assam Meghalaya,2,1888,2,0.525971328
Assam Meghalaya,2,1888,3,0.850213916
Assam Meghalaya,2,1888,4,1.133516745
Assam Meghalaya,2,1888,5,0.898361151
Assam Meghalaya,2,1888,6,0.52747103
Assam Meghalaya,2,1888,7,-0.126204347
Assam Meghalaya,2,1888,8,-0.74636305
Assam Meghalaya,2,1888,9,-0.916414403
Assam Meghalaya,2,1888,10,-1.001888972
Assam Meghalaya,2,1888,11,-0.660444791
Assam Meghalaya,2,1888,12,-0.32212146
Assam Meghalaya,2,1889,1,0.636766988
Assam Meghalaya,2,1889,2,0.912971831
Assam Meghalaya,2,1889,3,-0.205085685
Assam Meghalaya,2,1889,4,-0.452203808
Assam Meghalaya,2,1889,5,0.083942663
Assam Meghalaya,2,1889,6,1.420991251
Assam Meghalaya,2,1889,7,1.122368543
Assam Meghalaya,2,1889,8,-0.538638363
Assam Meghalaya,2,1889,9,0.664898373
Assam Meghalaya,2,1889,10,0.803390102
Assam Meghalaya,2,1889,11,-0.403535998
Assam Meghalaya,2,1889,12,0.18256344
Assam Meghalaya,2,1890,1,0.371178696
Assam Meghalaya,2,1890,2,-0.424505776
Assam Meghalaya,2,1890,3,-0.077875511
Assam Meghalaya,2,1890,4,0.01808641
Assam Meghalaya,2,1890,5,-1.376153882
Assam Meghalaya,2,1890,6,0.015240446
Assam Meghalaya,2,1890,7,0.932636433
Assam Meghalaya,2,1890,8,0.478202334
Assam Meghalaya,2,1890,9,-0.149159546
Assam Meghalaya,2,1890,10,-0.373426161
Assam Meghalaya,2,1890,11,0.178034082
Assam Meghalaya,2,1890,12,-0.088419285
Assam Meghalaya,2,1891,1,0.190785181
Assam Meghalaya,2,1891,2,0.417385803
Assam Meghalaya,2,1891,3,0.308623109
Assam Meghalaya,2,1891,4,-0.517090695
Assam Meghalaya,2,1891,5,0.325018565
Assam Meghalaya,2,1891,6,-0.669820484
Assam Meghalaya,2,1891,7,-1.370172904
Assam Meghalaya,2,1891,8,-0.548655005
Assam Meghalaya,2,1891,9,-0.802856809
Assam Meghalaya,2,1891,10,-1.254806932
Assam Meghalaya,2,1891,11,-0.895515927
Assam Meghalaya,2,1891,12,0.28207929
Assam Meghalaya,2,1892,1,-0.682800455
Assam Meghalaya,2,1892,2,0.23373542
Assam Meghalaya,2,1892,3,0.62528579
Assam Meghalaya,2,1892,4,1.692402846
Assam Meghalaya,2,1892,5,2.164888825
Assam Meghalaya,2,1892,6,0.36975706
Assam Meghalaya,2,1892,7,-0.55184349
Assam Meghalaya,2,1892,8,0.931436289
Assam Meghalaya,2,1892,9,0.668160659
Assam Meghalaya,2,1892,10,-0.658523269
Assam Meghalaya,2,1892,11,-0.456325592
Assam Meghalaya,2,1892,12,-0.076581416
Assam Meghalaya,2,1893,1,0.814847439
Assam Meghalaya,2,1893,2,0.958080584
Assam Meghalaya,2,1893,3,0.48459946
Assam Meghalaya,2,1893,4,0.937356788
Assam Meghalaya,2,1893,5,0.299874161
Assam Meghalaya,2,1893,6,-0.710351673
Assam Meghalaya,2,1893,7,0.318767503
Assam Meghalaya,2,1893,8,0.799075109
Assam Meghalaya,2,1893,9,-0.361433656
Assam Meghalaya,2,1893,10,-0.27450372
Assam Meghalaya,2,1893,11,0.103003008
Assam Meghalaya,2,1893,12,-1.156257849
Assam Meghalaya,2,1894,1,-1.26753066
Assam Meghalaya,2,1894,2,0.701439025
Assam Meghalaya,2,1894,3,0.724803275
Assam Meghalaya,2,1894,4,-0.035531019
Assam Meghalaya,2,1894,5,0.386216801
Assam Meghalaya,2,1894,6,0.496582811
Assam Meghalaya,2,1894,7,-1.270775446
Assam Meghalaya,2,1894,8,-1.55019011
Assam Meghalaya,2,1894,9,0.849776554
Assam Meghalaya,2,1894,10,1.846572314
Assam Meghalaya,2,1894,11,1.560685001
Assam Meghalaya,2,1894,12,1.20556633
Assam Meghalaya,2,1895,1,0.180000235
Assam Meghalaya,2,1895,2,-0.671601996
Assam Meghalaya,2,1895,3,-0.094525325
Assam Meghalaya,2,1895,4,0.264258898
Assam Meghalaya,2,1895,5,-0.089877414
Assam Meghalaya,2,1895,6,-1.733437
Assam Meghalaya,2,1895,7,0.59855561
Assam Meghalaya,2,1895,8,1.91484869
Assam Meghalaya,2,1895,9,0.058373523
Assam Meghalaya,2,1895,10,-0.553419758
Assam Meghalaya,2,1895,11,-0.765723663
Assam Meghalaya,2,1895,12,0.141257421
Assam Meghalaya,2,1896,1,0.847345177
Assam Meghalaya,2,1896,2,0.615010775
Assam Meghalaya,2,1896,3,0.241625311
Assam Meghalaya,2,1896,4,0.45382695
